"PROJECT_CODE","Year","n","A","bigN","LM_CBar","LM_varC","LM_varCBar","LM_P","LM_VarP","LM_P_CI","TM_CBar","TM_varC","TM_varCBar","TM_P","TM_VarP","TM_P_CI","MT1_CBar","MT1_varC","MT1_varCBar","MT1_P","MT1_VarP","MT1_P_CI","MT2_CBar","MT2_varC","MT2_varCBar","MT2_P","MT2_VarP","MT2_P_CI","MT3_CBar","MT3_varC","MT3_varCBar","MT3_P","MT3_VarP","MT3_P_CI","MT4_CBar","MT4_varC","MT4_varCBar","MT4_P","MT4_VarP","MT4_P_CI","MT5_CBar","MT5_varC","MT5_varCBar","MT5_P","MT5_VarP","MT5_P_CI","MT6_CBar","MT6_varC","MT6_varCBar","MT6_P","MT6_VarP","MT6_P_CI","MT7_CBar","MT7_varC","MT7_varCBar","MT7_P","MT7_VarP","MT7_P_CI","MT8_CBar","MT8_varC","MT8_varCBar","MT8_P","MT8_VarP","MT8_P_CI","MT9_CBar","MT9_varC","MT9_varCBar","MT9_P","MT9_VarP","MT9_P_CI","MT10_CBar","MT10_varC","MT10_varCBar","MT10_P","MT10_VarP","MT10_P_CI","MM_CBar","MM_varC","MM_varCBar","MM_P","MM_VarP","MM_P_CI","TF_CBar","TF_varC","TF_varCBar","TF_P","TF_VarP","TF_P_CI","FT11_CBar","FT11_varC","FT11_varCBar","FT11_P","FT11_VarP","FT11_P_CI","FT12_CBar","FT12_varC","FT12_varCBar","FT12_P","FT12_VarP","FT12_P_CI","FT13_CBar","FT13_varC","FT13_varCBar","FT13_P","FT13_VarP","FT13_P_CI","MF_CBar","MF_varC","MF_varCBar","MF_P","MF_VarP","MF_P_CI"
"T04","1990",14,81.231001,12339.229851,31.479236,3213.248289,229.257325,388421.955760,34904577066.6602,403616.634639,220.004540,25899.192035,1847.843357,2714633.615850,281335353762.509,1145882.329545,11.768150,159.736643,11.396814,145207.078853,1735172474.48489,89991.023606,14.020500,1318.967581,94.105077,172998.805912,14327559352.4162,258591.339014,0.995263,2.402333,0.171400,12280.545165,26095851.505764,11036.048568,4.695321,192.044493,13.701900,57935.525828,2086123208.78438,98672.889081,36.625476,1478.763198,105.506100,451921.347953,16063372439.6573,273808.061982,3.304277,12.082530,0.862058,40771.439537,131249002.367809,24750.038131,48.915958,2206.657498,157.439560,603573.476452,23970275481.5798,334475.552277,0.840981,1.283194,0.091552,10376.864148,13938966.738459,8065.720302,58.586185,4216.314732,300.823638,722894.299790,45800594676.9060,462342.083046,40.252425,2050.284165,146.282709,496674.232208,22271637671.4846,322406.614480,71.408989,8723.991843,622.435261,881114.743250,94766173712.4038,665050.370609,115.397971,7037.046362,502.075870,1423894.307776,76441377987.6906,597299.457862,79.920033,3742.081757,266.988287,986132.422172,40649140465.6381,435565.577377,11.893083,306.018968,21.833697,146748.625328,3324194620.21463,124557.845638,23.584854,3990.473736,284.710441,291013.260274,43347349942.2559,449789.323800,35.477937,4381.311089,312.595720,437761.885603,47592901878.1755,471301.649547
"T04","1991",15,81.231001,12339.229851,40.506925,1101.138439,73.319990,499814.516300,11163016269.5269,226607.814840,220.626484,16594.112335,1104.929330,2722307.771073,168226209623.774,879692.590459,21.251408,597.871271,39.809631,262220.893076,6061042358.32198,166977.426637,14.003572,464.937089,30.958126,172789.922934,4713394887.66935,147248.546763,3.464641,12.780970,0.851028,42750.175982,129569700.226364,24413.825218,1.787303,10.017297,0.667008,22053.524306,101552407.970016,21613.704867,59.870444,1802.184826,119.999601,738740.755142,18270017479.4575,289903.584714,8.867659,141.681844,9.433974,109417.951525,1436328695.96928,81285.114662,62.392961,2367.785748,157.660492,769866.067522,24003912569.5962,332296.006667,2.669140,14.375085,0.957174,32934.497187,145730371.059083,25891.614932,22.501031,853.372909,56.822367,277639.984034,8651242505.20369,199491.018260,23.818320,1946.601161,129.615653,293893.999359,19734067630.2395,301295.336895,109.245029,4293.347362,285.875214,1347973.222969,43524687479.4194,447457.647298,108.173081,25602.456778,1704.755568,1334746.473162,259550144872.840,1092684.397758,39.370698,2640.472747,175.817526,485794.614350,26768332819.3886,350909.209096,29.537298,1165.196040,77.585305,364460.397566,11812413309.3430,233105.983415,39.265085,9517.627282,633.737154,484491.461245,96486894265.3577,666220.923059,68.802383,14669.273030,976.762703,848951.858811,148712757265.118,827100.373698
"T04","1992",15,81.231001,12339.229851,85.570631,11561.770002,769.847674,1055855.079308,117209809404.354,734287.413469,224.942681,25819.273863,1719.192470,2775565.278736,261748172450.412,1097301.399590,68.233718,8710.209546,579.974740,841935.105845,88301531732.9559,637335.665904,10.863459,593.142071,39.494735,134044.109419,6013099131.43007,166315.714511,4.413373,29.908678,1.991488,54456.567605,303205350.040840,37346.725893,2.060079,28.383664,1.889944,25419.296437,287745206.326820,36382.132629,56.682218,3098.590407,206.321576,699401.278880,31412594349.5884,380133.379894,16.456644,1017.699521,67.764158,203058.350185,10317137159.7031,217853.080934,34.085641,1155.267310,76.924195,420582.361740,11711758775.6212,232110.701145,2.793966,17.937946,1.194409,34474.724884,181849599.793030,28922.796299,10.133276,92.205968,6.139591,125034.381645,934756876.584695,65574.266063,19.220302,803.140201,53.477591,237159.102091,8141998152.08606,193530.582523,158.709493,23896.086418,1591.135833,1958314.708374,242251466156.806,1055643.580828,84.001857,17934.764571,1194.197496,1036498.006195,181817346008.891,914538.011708,23.319827,765.903484,50.998161,287743.098297,7764503305.45561,188990.921971,16.655505,1492.079792,99.351064,205512.098925,15126264233.1227,263784.908538,44.026524,9164.212729,610.204826,543242.808971,92904081907.9029,653734.646242,60.682030,17714.734737,1179.546672,748754.907897,179586748543.613,908910.766443
"T04","1993",16,81.231001,12339.229851,42.021113,1495.185914,93.327946,518498.059590,14209240568.5723,254074.154065,133.522444,4295.150128,268.098794,1647531.984245,40818215881.4756,430627.800749,22.481182,403.931168,25.212962,277395.070673,3838689951.81500,132058.564670,14.788517,877.220866,54.755212,182475.360810,8336516687.01709,194610.992103,3.395514,13.301638,0.830274,41897.210599,126409823.673262,23964.339716,1.355898,7.704234,0.480890,16730.417506,73215858.015709,18238.017699,17.786002,152.460655,9.516435,219461.291035,1448883453.68725,81131.925112,8.594368,182.217134,11.373803,106045.820337,1731669005.04215,88696.707050,9.937653,94.680979,5.909888,122620.596790,899784301.468422,63935.823102,1.023326,1.941293,0.121173,12626.815710,18448750.143053,9155.003808,7.290573,48.672574,3.038091,89958.310043,462551386.961192,45841.101910,46.869406,2715.276429,169.484724,578321.090737,25804159613.6787,342389.087475,68.401484,3035.027448,189.443249,844005.170964,28842858079.1544,361988.022875,92.891156,8188.100587,511.092703,1146182.966697,77814196806.8931,594572.028747,46.046779,2418.602970,150.966676,568170.708105,22984774738.9263,323143.318508,4.616001,116.342391,7.261970,56956.794795,1105639777.46858,70873.173905,42.228375,6920.020441,431.940462,521055.463795,65763216604.5634,546596.162536,46.844377,8621.658972,538.154966,578012.258591,81934443880.9092,610110.233967
"T04","1994",16,81.231001,12339.229851,15.657578,261.741212,16.337613,193198.695001,2487412309.01589,106303.837921,81.619616,4721.311567,294.699346,1007103.552588,44868167354.9868,451485.929644,5.473680,41.434131,2.586275,67539.684656,393762097.154952,42295.290228,7.873713,166.841424,10.414067,97153.666507,1585548601.33302,84872.077730,0.547434,1.614847,0.100797,6754.793122,15346422.567922,8349.849177,1.762749,9.330729,0.582414,21750.550713,88672968.492281,20071.077066,7.781899,55.042941,3.435723,96020.777682,523091067.580392,48748.774983,5.070873,41.531051,2.592324,62569.448855,394683160.636967,42344.728573,10.025897,67.998049,4.244367,123709.440805,646207699.283028,54182.759392,0.740022,1.389951,0.086759,9131.130092,13209166.172957,7746.628986,17.030729,313.686819,19.580004,210141.986371,2981068399.75768,116375.356710,25.312614,1321.626789,82.494566,312332.073779,12559851453.9099,238873.133295,28.510352,564.534957,35.237683,351788.921539,5364960260.92299,156119.916179,83.321460,11279.045172,704.026243,1028102.590455,107188453709.647,697829.070698,52.139216,6364.562583,397.269362,643345.219753,60484518988.6980,524200.185541,7.742686,155.183526,9.686393,95536.923695,1474759789.10762,81853.206779,23.439557,1868.863044,116.652483,289220.447007,17760416498.1101,284054.469934,31.182244,2508.649925,156.587313,384757.370702,23840520387.8878,329103.817628
"T04","1995",16,81.231001,12339.229851,22.559809,2032.712366,126.879787,278365.239579,19317530174.2216,296244.880816,169.895941,39111.391420,2441.292285,2096344.156734,371688339282.631,1299464.809500,15.224375,1195.126236,74.598533,187853.400260,11357675342.0479,227153.681498,5.912093,179.336951,11.194025,72949.261060,1704297682.29970,87992.930462,0.615790,2.557171,0.159615,7598.233757,24301635.891271,10507.340580,0.807549,4.620317,0.288395,9964.344500,43908391.145113,14123.710819,37.792011,5765.280812,359.862818,466315.218795,54789348394.3719,498911.049468,3.242597,21.998151,1.373101,40010.376579,209055627.200417,30818.108919,44.340716,5734.526590,357.943172,547119.615669,54497080969.7788,497578.578549,1.507794,4.913021,0.306665,18604.660032,46690046.766826,14564.219283,31.594065,1689.746519,105.472216,389838.825944,16058213595.9573,270099.431369,28.858946,1450.290736,90.525636,356090.220133,13782587011.7294,250230.605143,63.594418,14168.167936,884.362274,784690.834953,134644731876.599,782113.419613,124.670494,20725.742519,1293.679244,1538307.866384,196963506996.411,945949.471550,54.714330,4169.498100,260.255725,675119.520270,39624103572.0928,424282.168448,57.268992,12628.674732,788.268713,706641.471368,120014424652.184,738400.153767,12.687171,668.289994,41.713964,156546.874745,6350978304.09262,169861.662074,69.956164,15043.705820,939.012436,863188.346113,142965254625.803,805916.979405
"T04","1996",16,81.231001,12339.229851,8.211504,112.962304,7.050989,101321.659096,1073517714.29549,69836.049208,118.029419,31949.884432,1994.278483,1456363.715471,303630197079.886,1174485.164762,4.224260,29.925249,1.867902,52123.099205,284389427.538642,35944.444665,3.987243,39.782606,2.483188,49198.559890,378067113.628090,41443.793925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.920581,4746.376374,296.263866,418545.678576,45106366415.5737,452682.782277,14.793591,401.657371,25.071034,182537.961006,3817081315.44907,131686.350095,30.034589,5885.408074,367.361037,370596.474620,55930957033.2964,504081.988740,12.344628,433.521784,27.059977,152320.238058,4119899246.47655,136810.160500,3.618141,39.119995,2.441829,44644.205123,371770102.849490,41097.204884,15.106383,491.272562,30.664721,186397.498990,4668723775.26125,145637.811634,56.925676,7095.864865,442.916488,702405.298678,67434323651.1041,553497.365028,59.141765,8048.286483,502.365653,729749.591120,76485497662.1896,589473.930450,18.114311,492.462138,30.738973,223512.288665,4680028704.02680,145814.029986,32.201741,4156.634641,259.452801,397336.929741,39501857916.6582,423627.179277,8.825712,345.965731,21.594820,108900.372714,3287825451.36290,122216.384306,41.027453,6587.551970,411.188127,506237.302455,62603660029.5112,533304.093088
"T04","1997",16,81.231001,12339.229851,11.598256,150.949194,9.422091,143110.754093,1434519541.77530,80728.761373,85.271087,2426.968044,151.488815,1052159.011976,23064270773.2340,323701.654168,10.623156,141.781508,8.849853,131079.012291,1347396030.96980,78238.891122,0.916688,1.608485,0.100400,11311.006460,15285965.467622,8333.385867,0.058411,0.054589,0.003407,720.735341,518785.861656,1535.214701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.237972,471.530441,29.432438,286733.085352,4481107944.68593,142681.529953,3.185379,11.574547,0.722471,39304.365787,109996707.984868,22354.496810,22.733872,308.987777,19.286694,280513.008731,2936411864.51393,115500.413703,0.595617,1.165797,0.072767,7349.311730,11078959.157939,7094.544798,9.986189,73.671682,4.598509,123219.479896,700126084.135399,56397.932552,13.933800,208.466413,13.012256,171929.006384,1981124476.39797,94870.444748,38.021608,1010.748119,63.089844,469148.205232,9605469825.47789,208898.037858,40.071606,2770.525784,172.933331,494443.118934,26329212295.2579,345854.943652,15.307807,194.350362,12.131147,188882.873446,1846975028.75035,91602.128796,16.685387,1003.864486,62.660174,205880.818478,9540052407.56240,208185.479431,8.078411,509.642939,31.811381,99679.427010,4843303471.04002,148335.771814,24.763799,2326.908095,145.243177,305560.245488,22113368359.8531,316958.574440
"T04","1998",16,81.231001,12339.229851,16.679492,836.177903,52.193353,205808.076041,7946471987.67985,190003.776533,62.491888,3233.135653,201.808957,771086.730917,30725545117.0395,373615.472266,10.447557,258.213552,16.117420,128912.302111,2453887809.67671,105585.044257,5.735457,333.349879,20.807352,70769.753170,3167932889.26968,119967.343209,0.496476,1.544697,0.096418,6126.020759,14679765.606059,8166.474594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.261882,320.945974,20.033113,126621.252886,3050054525.27087,117714.200239,5.545697,167.719603,10.468882,68428.301575,1593894223.68580,85095.149005,1.056129,2.797245,0.174601,13031.566031,26583138.271206,10989.506237,0.889279,1.521449,0.094967,10972.815175,14458830.215217,8104.787522,1.556718,5.126069,0.319963,19208.335677,48714712.249562,14876.649312,26.377688,1407.165261,87.833788,325474.009898,13372751523.4380,246482.132251,32.487072,2795.440633,174.488490,400857.630503,26565986244.3835,347406.569253,38.718685,2379.085092,148.500011,477749.433995,22609223424.7473,320492.504924,32.358252,2138.133673,133.460075,399268.119723,20319383311.3066,303829.763976,2.635435,100.616913,6.280402,32518.611231,956195421.065462,65909.555776,3.724997,185.084963,11.552810,45962.703040,1758922915.51547,89391.959699,6.360433,557.670004,34.809180,78481.314272,5299720375.29392,155167.774992
"T04","1999",16,81.231001,12339.229851,8.451413,195.591885,12.208641,104281.894732,1858773633.00989,91894.243395,249.158198,174386.389924,10885.016690,3074360.287851,1657250875275.23,2743905.708794,4.867164,87.724229,5.475654,60055.892500,833672033.631553,61542.150955,3.389803,93.457753,5.833535,41826.754361,888159587.069576,63521.472760,0.069444,0.077160,0.004816,856.874239,733281.398778,1825.199700,0.125000,0.250000,0.015604,1542.373631,2375831.732043,3285.359461,9.711053,251.802387,15.717242,119824.586186,2392960405.01212,104266.023577,6.551396,257.088546,16.047199,80837.607372,2443196507.12188,105354.782325,49.529773,5425.321187,338.642893,611147.333973,51558600931.7528,483977.995774,7.009880,51.936838,3.241843,86494.841264,493572752.945943,47353.342886,94.034550,39622.768687,2473.211921,1160291.291364,376548124640.867,1307932.402998,73.870130,25697.136893,1603.988499,911482.732958,244208293014.728,1053307.699238,24.713863,1303.332213,81.352638,304944.088291,12385992125.1788,237214.075196,146.216372,43958.684611,2743.855273,1804162.217080,417753751199.835,1377638.381498,100.279784,27405.251940,1710.607260,1237351.159216,260441068739.988,1087751.746179,40.497727,7043.045896,439.619583,499701.020760,66932367721.1831,551433.503326,5.438860,182.514486,11.392364,67110.037104,1734494833.94151,88769.047535,45.936588,8201.295957,511.916345,566811.057864,77939596721.0878,595050.921224
